"schoolid" "black09" "size09" "lep09" "lowinc09" "rwarnp" "rbelowp" "rmeetp" "rexceedp" "mwarnp" "mbelowp" "mmeetp" "mexceedp" "latitude" "longitude" "county" "rmex09" "mmex09"
"2" 100100102002 0 243 0.4 33.8 0 20 46.7 33.3 0 3.3 56.7 40 39.818143 -91.248191 "ADAMS COUNTY" 80 96.7
"4" 100100202002 0 341 0 24.6 0 15.2 60.9 23.9 0 2.2 69.6 28.3 39.886022 -91.10816 "ADAMS COUNTY" 84.8 97.9
"8" 100100302008 0 98 0 43.4 0 21.7 58 20.3 0 10.1 79.7 10.1 40.19445 -91.036815 "ADAMS COUNTY" 78.3 89.8
"11" 100100402004 0 85 0 6.5 0 18.5 49.2 32.3 0 4.6 55.4 40 40.111317 -91.367053 "ADAMS COUNTY" 81.5 95.4
"22" 100117202019 8 976 0 50.2 0.8 22.3 48.4 28.5 0.6 14.4 59.9 25.1 39.930076 -91.366254 "ADAMS COUNTY" 76.9 85
"24" 107500302001 0.5 177 0 35.3 0 5.9 64.7 29.4 0 0 82.4 17.6 39.440346 -90.867238 "PIKE COUNTY" 94.1 100
"27" 107500402001 1.5 162 0 50.2 0 34.9 48.8 16.3 2.3 27.3 50 20.5 39.70981 -90.725187 "PIKE COUNTY" 65.1 70.5
"30" 107501002010 0.2 518 0 40 0 19.8 59.3 21 0 14.8 74.1 11.1 39.595953 -90.803206 "PIKE COUNTY" 80.3 85.2
"33" 107501202001 0 155 1 40.8 0 36 48 16 0 24 60 16 39.697583 -91.044594 "PIKE COUNTY" 64 76
"34" 107501202002 0 66 0 40.4 0 27.8 50 22.2 0 0 88.2 11.8 39.712088 -91.207576 "PIKE COUNTY" 72.2 100
"39" 200200502002 21.9 274 0.3 47.9 2.8 16.7 61.1 19.4 2.8 5.6 77.8 13.9 37.2278 -89.3244 "ALEXANDER COUNTY" 80.5 91.7
"41" 204400102001 0 371 0 32.5 0 31.9 48.9 19.1 2.1 19.1 76.6 2.1 37.553187 -88.978212 "JOHNSON COUNTY" 68 78.7
"42" 204403202003 0 247 0 51.4 5.6 25 44.4 25 2.8 16.7 47.2 33.3 37.513605 -88.831255 "JOHNSON COUNTY" 69.4 80.5
"43" 204404302001 0 28 0 40 0 40 60 0 0 10 90 0 37.470975 -88.978213 "JOHNSON COUNTY" 60 90
"44" 204405502001 0.2 388 1.6 48.5 2.6 17.9 43.6 35.9 0 12.8 51.3 35.9 37.412615 -88.89498 "JOHNSON COUNTY" 79.5 87.2
"45" 204406402001 0 92 0 43.1 0 7.1 28.6 64.3 0 0 28.6 71.4 37.371963 -89.020965 "JOHNSON COUNTY" 92.9 100
"49" 206100102001 0 133 0 22.7 0 17.6 47.1 35.3 0 0 41.2 58.8 37.265368 -88.702788 "MASSAC COUNTY" 82.4 100
"50" 206100102002 1.4 174 0 24.7 0 16 56 28 0 4 44 52 37.203998 -88.770489 "MASSAC COUNTY" 84 96
"51" 206100102003 7.7 528 0 59.2 0 19.4 62.9 17.7 0 6.5 66.1 27.4 37.153057 -88.722218 "MASSAC COUNTY" 80.6 93.5
"52" 206100102006 3.6 152 0 36.8 0 0 31.3 68.8 0 0 6.3 93.8 37.15971 -88.61932 "MASSAC COUNTY" 100.1 100.1
"53" 206100102010 12.6 198 0 68.6 0 33.3 56.7 10 0 10 73.3 16.7 37.124891 -88.629482 "MASSAC COUNTY" 66.7 90
"55" 206103802001 0.5 148 0 59.8 0 23.1 46.2 30.8 0 3.8 65.4 30.8 37.229129 -88.858388 "MASSAC COUNTY" 77 96.2
