"schoolid" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "latitude" "longitude" "county" "dmin" "dmax" "rad1" "rad2" "rad5" "rad10" "rmex11" "mmex11"
"2" 100100102002 0 244 0 38 3.4 17.2 37.9 41.4 0 6.9 65.5 27.6 39.818143 -91.248191 "ADAMS COUNTY" 45.8196731512295 242.118024289224 0 0 0 0 79.3 93.1
"4" 100100202002 0 334 0 30.2 0 6.8 54.5 38.6 0 2.3 61.4 36.4 39.886022 -91.10816 "ADAMS COUNTY" 37.3775302862056 233.625448962154 0 0 0 0 93.1 97.8
"8" 100100302008 0 79 0 44.9 1.8 30.4 51.8 16.1 3.6 14.3 62.5 19.6 40.19445 -91.036815 "ADAMS COUNTY" 34.5893131389696 215.72314364269 0 0 0 0 67.9 82.1
"11" 100100402004 0 87 0 34.9 0 13.9 48.6 37.5 0 9.7 61.1 29.2 40.111317 -91.367053 "ADAMS COUNTY" 50.2773188047732 232.903289903413 0 0 0 0 86.1 90.3
"22" 100117202019 8.5 989 0.2 52.7 0.6 23.6 46.7 29.1 1.3 16 62.8 20 39.930076 -91.366254 "ADAMS COUNTY" 50.2651793840029 240.950336335451 0 0 0 0 75.8 82.8
"24" 107500302001 0.9 190 0 45.9 0 7.7 53.8 38.5 0 0 69.2 30.8 39.440346 -90.867238 "PIKE COUNTY" 46.3801722510943 249.378522011099 0 0 0 0 92.3 100
"27" 107500402001 4.8 128 0 59.9 0 38.7 38.7 22.6 0 6.5 74.2 19.4 39.70981 -90.725187 "PIKE COUNTY" 26.653095190218 229.911798725786 0 0 0 0 61.3 93.6
"30" 107501002010 0 520 0 52 0 20.5 39.8 39.8 0 7.2 63.9 28.9 39.595953 -90.803206 "PIKE COUNTY" 35.4675966913864 238.693514530975 0 0 0 0 79.6 92.8
"33" 107501202001 0 226 0.8 47 0 27.5 47.1 25.5 2 10 68 20 39.697583 -91.044594 "PIKE COUNTY" 39.6919523453727 241.168740320528 0 0 0 0 72.6 88
"35" 200200102004 83.3 235 0 99.6 2.8 58.3 36.1 2.8 0 19.4 75 5.6 37.012091 -89.183486 "ALEXANDER COUNTY" 123.455544567816 372.775573559726 0 0 0 0 38.9 80.6
"38" 200200502002 20.3 256 0.3 45.9 0 10.5 63.2 26.3 2.6 10.5 71.1 15.8 37.2278 -89.3244 "ALEXANDER COUNTY" 106.663511275793 359.452440050807 0 0 0 0 89.5 86.9
"40" 204400102001 0.4 406 0 40.5 0 22.7 59.1 18.2 0 13.6 72.7 13.6 37.553187 -88.978212 "JOHNSON COUNTY" 98.0440396132774 334.090436406733 0 0 0 0 77.3 86.3
"41" 204403202003 0 235 0.4 57.5 0 18.5 40.7 40.7 0 0 77.8 22.2 37.513605 -88.831255 "JOHNSON COUNTY" 105.456185271046 335.695964281581 0 0 0 0 81.4 100
"43" 204405502001 0.2 380 1.2 52 0 11.4 72.7 15.9 0 2.3 70.5 27.3 37.412615 -88.89498 "JOHNSON COUNTY" 108.421019243198 343.066188354154 0 0 0 0 88.6 97.8
"44" 204406402001 0 86 0 44 0 13.3 60 26.7 0 0 80 20 37.371963 -89.020965 "JOHNSON COUNTY" 106.465244579222 346.821616760231 0 0 0 0 86.7 100
"48" 206100102001 0 132 0 24.6 0 0 46.2 53.8 0 0 46.2 53.8 37.265368 -88.702788 "MASSAC COUNTY" 122.988165357946 351.9396640452 0 0 0 0 100 100
"49" 206100102002 1 162 0 29.9 0 6.9 44.8 48.3 0 6.9 48.3 44.8 37.203998 -88.770489 "MASSAC COUNTY" 123.977993432923 356.548531254662 0 0 0 0 93.1 93.1
"50" 206100102003 9.3 569 0 71.6 0 18.7 56 25.3 0 2.7 62.7 34.7 37.153057 -88.722218 "MASSAC COUNTY" 128.38819229285 359.768137511878 0 0 0 0 81.3 97.4
"51" 206100102006 2.9 135 0 44.3 0 26.7 53.3 20 0 13.3 73.3 13.3 37.15971 -88.61932 "MASSAC COUNTY" 131.540937709214 358.775334676017 0 0 0 0 73.3 86.6
"52" 206100102010 11.1 186 0 74.2 4.8 14.3 52.4 28.6 4.8 4.8 61.9 28.6 37.124891 -88.629482 "MASSAC COUNTY" 133.061586279406 361.220940190621 0 0 0 0 81 90.5
"54" 206103802001 0.5 153 0 55.2 0 22.2 61.1 16.7 0 11.1 61.1 27.8 37.229129 -88.858388 "MASSAC COUNTY" 119.695093324452 355.384745331631 0 0 0 0 77.8 88.9
"56" 207710002004 18 194 0 82.8 5.7 34.3 45.7 14.3 0 17.1 82.9 0 37.271055 -89.09775 "PULASKI COUNTY" 109.955760346716 354.358637290464 0 0 0 0 60 82.9
